Scope;ConstructionElementType;ID;Act_Code;Activity_Desc;BOQ;START;FINISH;Scope_ConstructionElementType;Scope_ConstructionElementType_BOQ;Cost Overrrun;Delay
PRS_L0_STR;Slab;PRS_L0_STR_BSPC01;BSPC01;Pouring Concrete Slabs L0;C30/37 for Slabs;3/31/2015;4/2/2015;PRS_L0_STR_Slab;PRS_L0_STR_Slab_C30/37forSlabs;YES;NO
PRS_L0_STR;Beam;PRS_L0_STR_BSPC05;BSPC01;Pouring Concrete Beams L0;C30/37 for Beams;3/31/2015;4/2/2015;PRS_L0_STR_Beam;PRS_L0_STR_Beam_C30/37forBeams;NO;NO
PRS_L0_STR;Slab;PRS_L0_STR_BSPF01;BSPF01;Placing FormWork Slabs L0;Formwork for Slabs;3/11/2015;3/23/2015;PRS_L0_STR_Slab;PRS_L0_STR_Slab_FormworkforSlabs;YES;NO
PRS_L0_STR;Beam;PRS_L0_STR_BSPF05;BSPF01;Placing FormWork Beams L0;Formwork for Beams;3/11/2015;3/23/2015;PRS_L0_STR_Beam;PRS_L0_STR_Beam_FormworkforBeams;NO;NO
PRS_L0_STR;Parapet;PRS_L0_STR_CPIR01;CPIR01;Installing Reinf. Parapets L0;Reinforcement for Parapets;5/11/2015;5/12/2015;PRS_L0_STR_Parapet;PRS_L0_STR_Parapet_ReinforcementforParapets;NO;YES
PRS_L0_STR;Parapet;PRS_L0_STR_CPPC01;CPPC01;Pouring Concrete Parapets L0;C30/37 for Parapets;5/12/2015;5/13/2015;PRS_L0_STR_Parapet;PRS_L0_STR_Parapet_C30/37forParapets;NO;NO
PRS_L0_STR;Parapet;PRS_L0_STR_CPPF01;CPPF01;Placing FormWork Parapets L0;Formwork for Parapets;5/9/2015;5/12/2015;PRS_L0_STR_Parapet;PRS_L0_STR_Parapet_FormworkforParapets;NO;NO
PRS_L0_STR;Columns;PRS_L0_STR_CWIR01;CWIR01;Installing Reinf. Columns L0;Reinforcement for Columns;4/4/2015;4/7/2015;PRS_L0_STR_Columns;PRS_L0_STR_Columns_ReinforcementforColumns;NO;YES
PRS_L0_STR;ConcreteWall;PRS_L0_STR_CWIR03;CWIR03;Installing Reinf. Con. Walls L0;Reinforcement for ConcreteWalls;4/4/2015;4/7/2015;PRS_L0_STR_ConcreteWall;PRS_L0_STR_ConcreteWall_ReinforcementforConcreteWalls;NO;YES
PRS_L0_STR;Columns;PRS_L0_STR_CWPC01;CWPC01;Pouring Concrete Columns L0;C30/37 for Columns & Con. Walls;4/14/2015;4/15/2015;PRS_L0_STR_Columns;PRS_L0_STR_Columns_C30/37forColumns&Con.Walls;NO;NO
